id,name,profile,role,industry,location,ctc,eligibility,cpi,ctc desc,description,link,skills
1697, FN Mathlogic Consulting Services Private Limited,Consulting,Analyst,Consulting,Gurgaon/India,"12,12,000",1.11E+128,0,7 LPA fixed + 30% variable,"You will be responsible for understanding machine learning/ deep learning/ reinforcement learning algorithms, coding them in R/ Python/ Scala, transforming real-life data for these techniques, preparing training materials on algorithms and analytical tools, gathering information from stakeholders and creating reports, working with clients, technicians, and managerial staff, and ensuring solutions meet business needs.",https://spo-backend.vercel.app/details/2024/1697,"machine learning, deep learning, reinforcement learning, R, Python, Scala"
1705,Tata Consultancy Services,Core,R&D,"IT Services, Consulting and Business Solutions",Anywhere in India,"11,50,000",1.11E+128,0,"BTech CTC: 9 LPA, MTech CTC: 11.5 LPA","Research Engineer role in Corporate R&I-Incubation group or Unit/ Business Group's Research and Innovation teams, building future TCS unicorns. Responsibilities include conceptualization, design, and development of innovative assets to address business opportunities and technology problems, under limited supervision, individually or as part of a team. This involves creating assets and asset components, developing PoTs, PoCs, Prototypes, Pilots, MVPs, validating developed assets with customers, experimenting and researching to solve challenges, writing papers, participating in conferences and seminars, filing patents, and learning new technologies.",https://spo-backend.vercel.app/details/2024/1705,"Research, Development, Innovation, Prototyping, PoC, MVP"
1716,Winzo Games,Software,Software Developer,Core Technology,Delhi/India,"32,00,000",1.10E+124,0,30 lacs fixed + 2Lacs Variable + 10 Lacs of Joining Bonus + 6 Lacs of ESOPs vested over 5 years,"As a Software Developer, you'll learn the codebase, gather user data, and respond to senior developer requests. You'll also work on critical code delivery, ensuring applications are up-to-date and functional. Your responsibilities include designing and developing APIs, designing storage solutions, automating code, implementing codes, and innovating to enhance the tech stack.",https://spo-backend.vercel.app/details/2024/1716,"API development, code automation, storage solutions, coding, software development"
1717,Winzo Games,Analytics & Data Science,Data Science,Core Technology,Delhi/India,"50,00,000",1.00E+124,0,30 Lacs Fixed + 2 lacs Variable + 10 Lacs Joining Bonus (paid over 18 months) + 6 lacs ESOPs vested over 5 years,"As a Data Scientist at WinZo, you'll work on building models to solve business problems, generate insights from data, and drive execution with stakeholders. You'll tackle challenges from recommender systems to computer vision to social network analysis, building scalable models for churn prediction, fraud detection, image processing, recommendation systems, and user segmentation. You'll analyze results, communicate insights, conduct A/B experiments, and identify growth levers.",https://spo-backend.vercel.app/details/2024/1717,"Machine Learning, Data Analysis, Statistical Techniques, A/B Testing, Image Processing"
1738,SRF LIMITED,Core,Design Trainee,Chemicals,Gurugram/India,"10,00,000",1.00E+125,0,"CTC: 10,00,000 INR","As a Design Trainee, you will be responsible for carrying out Process Engineering Design & preparing documents for BEP (Basic Engineering Package) by collecting data from R&D and Pilot plant for the assigned processes and commissioning the same. You will also work on new products development and provide process-engineering support for their commercialization.",https://spo-backend.vercel.app/details/2024/1738,"Process Engineering, Design, BEP, R&D, Pilot plant"
1744,Da Vinci Derivatives B.V.,Software,"Da Vinci was founded in 2015 by three friends with a lot of experience and enthusiasm for trading and has been growing successfully ever since. We are a unique proprietary trading firm, focusing on volatility trading, arbitrage and market making across major exchanges worldwide. We identify opportunities, trade volatility based on in-house developed strategies and provide liquidity to the markets thus making them more efficient.

Our philosophy towards work is best captured by the saying “Be good, work hard and great things will happen”. We are meritocratic by nature and believe that empowering talent in our organization is the only way forward. As part of our team, you will build trading algorithms, implement new strategies in the market, analyze trades, continuously improve how we do things and come up with new innovative ideas to contribute to reaching our ambitious goals.
",Graduate C++ Software Engineer,Amsterdam/Netherlands,"1,30,00,000",1.00E+124,0,"Sign on bonus of 20 lakh INR, Base salary of 70 lakh INR, Guaranteed bonus after 12 months of 40 lakh INR (subject to conversation rate and living expenses), relocation allowance: INR","As a Software Engineer at Da Vinci, you’ll work closely with a team of highly skilled traders and quant researchers. You will have direct, immediate, and large-scale impact on the company, whether you focus on our trading algorithms or the architecture of our technology’s core components. Da Vinci offers an exciting and dynamic work environment, where employees are given the freedom to come up with great ideas and the space to push these to completion. This is a once-in-a-lifetime opportunity to be part of a successful and fast-growing company.",https://spo-backend.vercel.app/details/2024/1744,"C++, Python, Trading Algorithms, Market Making, Volatility Trading"
1746,Da Vinci Derivatives B.V.,Quant,"Da Vinci was founded in 2015 by three friends with a lot of experience and enthusiasm for trading and has been growing successfully ever since. We are a unique proprietary trading firm, focusing on volatility trading, arbitrage and market making across major exchanges worldwide. We identify opportunities, trade volatility based on in-house developed strategies and provide liquidity to the markets thus making them more efficient.

Our philosophy towards work is best captured by the saying “Be good, work hard and great things will happen”. We are meritocratic by nature and believe that empowering talent in our organization is the only way forward. As part of our team, you will build trading algorithms, implement new strategies in the market, analyze trades, continuously improve how we do things and come up with new innovative ideas to contribute to reaching our ambitious goals.
",Graduate Quant Researcher,Amsterdam/Netherlands,"1,30,00,000",1.11E+128,0,"Base salary of 70 lakh INR, A sign on bonus of 20 lakh INR, Guaranteed bonus after 12 months of 40lakh INR","As a Graduate Quant Researcher at Da Vinci, you’ll work alongside a fun team of highly skilled traders and engineers. Our Quant Researchers are key to developing and improving algorithmic trading strategies that help us reach our goal of building one of the best proprietary trading firms in the world. Da Vinci offers an exciting and dynamic work environment, where employees are given the freedom to come up with great ideas and the space to push these to completion. This is a once-in-a-lifetime opportunity to be part of a successful and fast-growing company.",https://spo-backend.vercel.app/details/2024/1746,"Python, MATLAB, R, C++, Mathematical modelling"
1752,Cubastion Consulting,Software,Graduate Trainee Engineer,IT,Gurgaon/India,"6,00,000",1.11E+128,6.5,CTC: 6 LPA (INR),"This role involves technical consulting, Siebel CRM development, integration interface design, troubleshooting application problems, and Siebel CRM administration tasks.",https://spo-backend.vercel.app/details/2024/1752,"Siebel CRM, Analytical Skills, Problem Solving, Good Communication, Team Player"
1773,GKN AEROSPACE ENGINE SYSTEMS INDIA PVT LTD,Core,Graduate,Design & Engineering of Aerospace Components,Bangalore/India,"9,50,000",1.00E+115,0,"Annual Basic = INR 3,80,000/-; Annual PF = INR 45600/-; Annual Flexible Benefit plan= INR 5,24,400/-","The GKN Aerospace India Graduate Programme is a 15-month program for Engineering graduates. You will work on real-time projects, solving real-world problems, and gaining experience in manufacturing engineering, technology, and product development. You will also have the opportunity to develop your technical and personal skills through on-the-job training and mentoring.",https://spo-backend.vercel.app/details/2024/1773,"FEA, MATLAB, Python, Shell scripting, Data Science"
1780,Quicksell ,Software,Frontend Developer,Tech Start-up,Mumbai/India,"18,00,000",1.11E+128,0,"15 LPA - all fixed, can go till 18 LPA","QuickSell is a SaaS tech product start-up backed by InfoEdge & BeeNext Ventures. We have a solid foundation and promising future.  With over 1 million users across India, APAC & LATAM. Serviced 2.5million orders per year QuickSell’s technology and services have earned the trust of leading brands.  DoubleTick is a mobile-first WhatsApp Business API powered CRM and sales enablement platform helping mid-market and large enterprises boost sales efficiency using WhatsApp. Key features include - In-built lead management, team inbox, automation and custom journeys, cataloguing integrations, integration with existing CRMs. DoubleTick aims to onboard mid-market and large enterprises that have a large sales force and their sales people use WhatsApp as a medium to communicate with customers. This role involves designing, refactoring, re-architecting, and implementing a web app from start to finish, ensuring excellent command over web fundamentals. Experience in building React apps, benchmarking and optimization techniques, and agile development is essential.  Bonus skills include experience in NodeJS, MongoDB, Redis, Firebase, PostgreSQL, NoSQL, RESTful services, and clean architecture.",https://spo-backend.vercel.app/details/2024/1780,"HTML5, CSS3, JavaScript/ES6, SASS/LESS, React"
